data_idx	sorted_idx	orig_pred	new_pred	gold_label	contrast_label	orig_contrast_prob_pred	new_contrast_prob_pred	orig_input	edited_input	orig_editable_seg	edited_editable_seg	minimality	num_edit_rounds	mask_frac	duration	error
218	0	contradiction	entailment	contradiction	entailment	1.638596222619526e-05	0.98948	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is sleeping on the couch.	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is  at the party.	Man in leather jacket and scarf sits on purple cushion at a party.</s> A person is sleeping on the couch.</s>	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is  at the party.	0.36363636363636365	1	0.3	0.3342878818511963	False
225	0	contradiction	entailment	contradiction	entailment	0.004498707130551338	0.6423978	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping. </s> The woman is wearing a full sleeved jacket.	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping. </s> The woman is  above a  black and white  recieved animal.	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping.</s> The woman is wearing a full sleeved jacket.</s>	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping. </s> The woman is  above a  black and white  recieved animal.	0.34375	1	0.3	0.3468286991119385	False
190	0	contradiction	entailment	contradiction	entailment	0.03274141997098923	0.48178422	Two formally dressed, bald older women </s> Two long-haired young women.	Two formally dressed, bald older women </s> Two  long-haired women.	Two formally dressed, bald older women</s> Two long-haired young women.</s>	Two formally dressed, bald older women </s> Two  long-haired women.	0.4	1	0.3	0.3378474712371826	False
15	0	entailment	contradiction	entailment	contradiction	0.00014534256479237229	0.9997223	A hockey player in blue and red guarding the goal. </s> a person playing a sport	A hockey player in blue and red guarding the goal. </s> a  soccer player scores a goal	A hockey player in blue and red guarding the goal.</s> a person playing a sport</s>	A hockey player in blue and red guarding the goal. </s> a  soccer player scores a goal	0.5294117647058824	1	0.3	0.34595704078674316	False
55	0	entailment	contradiction	entailment	contradiction	6.155227310955524e-05	0.99994576	A man is playing with his skateboard on a street. </s> A man is outside.	A man is playing with his skateboard on a street. </s>  The man is sleeping.	A man is playing with his skateboard on a street.</s> A man is outside.</s>	A man is playing with his skateboard on a street. </s>  The man is sleeping.	0.4375	1	0.3	0.33390259742736816	False
198	0	contradiction	entailment	contradiction	entailment	0.12886400520801544	0.954948	A motorist gets some air over a rough hill. </s> A motorist has stalled.	A motorist gets some air over a rough hill. </s> A motorist  is on a hill.	A motorist gets some air over a rough hill.</s> A motorist has stalled.</s>	A motorist gets some air over a rough hill. </s> A motorist  is on a hill.	0.6	1	0.3	0.33411240577697754	False
253	0	contradiction	contradiction	contradiction	entailment	0.00010232073691440746	0.0008923158	The man in the sailor suit is holding literature. </s> A chef is cooking stew.	The man in the sailor suit is holding literature. </s> A  man is holding food stew.	The man in the sailor suit is holding literature.</s> A chef is cooking stew.</s>	The man in the sailor suit is holding literature. </s> A  man is holding food stew.	0.5625	1	0.3	0.2561321258544922	False
81	0	entailment	entailment	entailment	contradiction	0.0015592278214171529	0.0027729324	A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars. </s> a gymanst performing	A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars. </s> a gymnast performing	A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.</s> a gymanst performing</s>	A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars. </s> a gymnast performing	0.30434782608695654	1	0.3	0.17153692245483398	False
207	0	contradiction	entailment	contradiction	entailment	7.015502342255786e-05	0.91745764	A rugby player swings his leg back to punt the ball. </s> There is a person sitting on the bed.	A rugby player swings his leg back to punt the ball. </s> There is a person  playing on the field.	A rugby player swings his leg back to punt the ball.</s> There is a person sitting on the bed.</s>	A rugby player swings his leg back to punt the ball. </s> There is a person  playing on the field.	0.3333333333333333	1	0.3	0.20062947273254395	False
268	0	contradiction	entailment	contradiction	entailment	1.7125792510341853e-05	0.80447143	A man swings his tennis racquet as the tennis ball gets closer to him. </s> A man is shooting a basketball at the goal.	A man swings his tennis racquet as the tennis ball gets closer to him. </s> A man is  playing a  sport at the tennis court	A man swings his tennis racquet as the tennis ball gets closer to him.</s> A man is shooting a basketball at the goal.</s>	A man swings his tennis racquet as the tennis ball gets closer to him. </s> A man is  playing a  sport at the tennis court	0.32	1	0.3	0.2697780132293701	False
118	0	entailment	contradiction	entailment	contradiction	0.008865156210958958	0.99986994	A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below. </s> a crwod is cheering	A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below. </s> No one in the cood is cheering	A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.</s> a crwod is cheering</s>	A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below. </s> No one in the cood is cheering	0.39285714285714285	1	0.3	0.2210228443145752	False
59	0	neutral	contradiction	entailment	contradiction	0.02573111094534397	0.99937016	There are two people walking in the sand. </s> Two people walk across the beach.	There are two people walking in the sand. </s> Two people  are swimming in the ocean.	There are two people walking in the sand.</s> Two people walk across the beach.</s>	There are two people walking in the sand. </s> Two people  are swimming in the ocean.	0.5625	1	0.3	0.2955327033996582	False
182	0	contradiction	contradiction	contradiction	entailment	0.0006469087675213814	0.0006170628	A man hammering nails on a shed. </s> The shed is made of t-shirts.	A man hammering nails on a shed. </s> The shed is made  of  t-shirts.	A man hammering nails on a shed.</s> The shed is made of t-shirts.</s>	A man hammering nails on a shed. </s> The shed is made  of  t-shirts.	0.35294117647058826	1	0.3	0.338381290435791	False
135	0	entailment	contradiction	entailment	contradiction	0.0007988588768057525	0.9806249	A man is riding a bicycle in the street. </s> a bicycle is being ridden	A man is riding a bicycle in the street. </s>  The bicycle is  ridden by a woman	A man is riding a bicycle in the street.</s> a bicycle is being ridden</s>	A man is riding a bicycle in the street. </s>  The bicycle is  ridden by a woman	0.5625	1	0.3	0.45583462715148926	False
111	0	entailment	contradiction	entailment	contradiction	0.0006447674240916967	0.9984816	A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. </s> A person is near a pile of coconuts.	A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. </s> A person  working inside with a  pile of coconuts on the ground	A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.</s> A person is near a pile of coconuts.</s>	A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. </s> A person  working inside with a  pile of coconuts on the ground	0.3548387096774194	1	0.3	0.35613369941711426	False
125	0	entailment	contradiction	entailment	contradiction	0.0030698231421411037	0.9999523	Several men in black t-shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center. </s> men using metal rods	Several men in black t-shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center. </s> men with no rods	Several men in black t-shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center.</s> men using metal rods</s>	Several men in black t-shirts and caps are using with metal rods to smash food that's lying on a round table with a hole in the center. </s> men with no rods	0.2222222222222222	1	0.3	0.18674874305725098	False
